# stan_version_major = 2
# stan_version_minor = 14
# stan_version_patch = 0
# model = ex3_model
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 1
# id = 2
# data
#   file = ex3_2.data.R
# init = 2 (Default)
# random
#   seed = 4133938453
# output
#   file = ex3_samples_2.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,mu1,mu2,sigma
# Adaptation terminated
# Step size = 1.16254
# Diagonal elements of inverse mass matrix:
# 0.618174, 0.869076, 0.0102552
-99.1146,0.592636,1.16254,2,3,0,102.244,0.243472,2.13149,4.77967
-99.6921,0.97138,1.16254,2,3,0,99.7468,0.435175,2.38154,5.02956
-100.406,0.921689,1.16254,1,1,0,100.584,0.585741,2.20694,5.4197
-99.854,1,1.16254,2,3,0,100.517,0.569507,0.323046,3.99516
-99.1613,1,1.16254,2,3,0,99.7536,-0.137443,1.89641,4.91511
-100.598,0.800679,1.16254,2,3,0,101.253,0.0214742,-0.934498,4.95212
-100.592,0.890186,1.16254,2,3,0,101.911,0.384833,2.51986,4.0065
-98.5837,1,1.16254,1,3,0,100.209,0.336187,0.761778,4.56437
-99.0022,0.817024,1.16254,2,3,0,100.096,-0.530514,1.42921,4.44848
-99.0022,0.505929,1.16254,1,1,0,103.347,-0.530514,1.42921,4.44848
-98.6476,0.778025,1.16254,2,3,0,100.12,0.587623,0.92989,4.45735
-98.6476,0.372163,1.16254,1,3,0,104,0.587623,0.92989,4.45735
-99.4931,0.657267,1.16254,2,3,0,101.335,0.201157,2.49815,4.7647
-99.4161,0.790865,1.16254,2,3,0,100.757,0.993827,0.500292,4.96066
-99.6958,0.928025,1.16254,2,3,0,100.138,-0.932549,1.75719,4.50433
-99.9952,0.75225,1.16254,2,3,0,102.126,1.35227,0.41716,4.28083
-99.9952,0.540224,1.16254,1,3,0,102.182,1.35227,0.41716,4.28083
-99.4814,1,1.16254,2,3,0,99.9877,-0.700756,1.13185,5.01074
-98.5705,0.982851,1.16254,2,3,0,99.6282,0.109847,0.838793,4.61292
-98.5705,0.672767,1.16254,1,3,0,100.399,0.109847,0.838793,4.61292
-98.8011,0.850881,1.16254,2,3,0,99.6076,0.51326,1.04981,4.24747
-100.696,0.774163,1.16254,2,3,0,101.057,1.31476,1.72851,5.42891
-98.5604,0.836661,1.16254,2,3,0,101.604,0.0900414,0.917625,4.44419
-99.3515,0.872016,1.16254,2,3,0,99.659,-0.551376,1.88011,4.83923
-98.7069,0.956188,1.16254,2,3,0,99.6787,0.388953,1.33581,4.7908
-98.7069,0.853422,1.16254,1,3,0,99.7074,0.388953,1.33581,4.7908
-101.854,0.51218,1.16254,2,3,0,102.595,-1.05257,1.67225,5.79013
-99.9935,1,1.16254,2,3,0,102.149,1.0622,-0.259206,4.46946
-99.979,0.976031,1.16254,2,3,0,100.704,1.23941,0.398496,4.2024
-99.501,1,1.16254,2,3,0,100.481,-0.134762,0.811221,4.00049
-100.957,0.620095,1.16254,2,3,0,102.221,0.667929,1.95531,5.66318
-99.5565,0.98125,1.16254,2,3,0,100.864,0.386844,-0.0205252,4.1965
-99.5565,0.335862,1.16254,2,3,0,103.142,0.386844,-0.0205252,4.1965
-101.186,0.790746,1.16254,2,3,0,101.392,-0.822286,2.97498,5.15095
-101.504,0.975178,1.16254,2,3,0,102.403,-1.6858,2.07407,5.00078
-98.8793,1,1.16254,1,3,0,101.099,-0.273396,1.21815,4.84133
-99.5436,0.891975,1.16254,1,3,0,100.089,0.979371,0.847009,4.1186
-99.0623,0.99824,1.16254,2,3,0,100.096,0.29215,1.16376,5.05114
-101.006,0.794861,1.16254,2,3,0,101.355,0.767998,-0.17007,5.56436
-100.371,1,1.16254,2,3,0,102.019,-0.588462,2.02943,4.02643
-100.031,0.899721,1.16254,2,3,0,102.566,1.12199,0.888615,5.28526
-98.6997,0.87786,1.16254,2,3,0,101.091,0.0586441,1.59481,4.39862
-98.6228,0.575127,1.16254,2,3,0,102.389,0.276804,0.636517,4.53507
-98.6404,0.949123,1.16254,2,3,0,98.8945,0.133363,1.3479,4.3418
-98.6404,0.723923,1.16254,2,3,0,100.41,0.133363,1.3479,4.3418
-102.72,0.505572,1.16254,2,3,0,103.575,1.1526,-1.56685,5.37049
-99.7682,1,1.16254,2,3,0,102.413,0.481324,2.69385,4.62915
-100.537,0.950181,1.16254,2,3,0,100.881,1.29391,2.69957,4.6501
-100.222,1,1.16254,1,1,0,100.855,1.12364,2.6441,4.64729
-103.035,0.641976,1.16254,2,3,0,104.752,0.789024,-0.325862,6.17067
-103.659,0.944373,1.16254,2,3,0,106.357,-1.0315,-1.79573,4.56742
-98.9657,1,1.16254,2,3,0,102.548,-0.392628,0.494763,4.5142
-99.3151,0.91633,1.16254,2,3,0,99.7783,0.585401,2.13727,4.88401
-98.977,0.750792,1.16254,2,3,0,101.433,1.00914,1.07626,4.53472
-101.086,0.673526,1.16254,2,3,0,101.997,-0.370618,-1.00605,4.41771
-100.753,1,1.16254,2,3,0,101.59,1.00999,2.92294,5.06999
-100.354,1,1.16254,2,3,0,101.397,-0.299462,-0.44837,4.21568
-102.278,0.72766,1.16254,2,3,0,103.238,-0.576243,3.68366,5.27735
-102.166,0.969671,1.16254,1,1,0,102.986,-0.517325,3.77373,5.05111
-103.001,0.943117,1.16254,2,3,0,103.922,-0.0548934,-1.85946,4.45619
-99.0734,1,1.16254,2,3,0,102.399,0.112542,0.537985,4.16372
-98.7433,0.901166,1.16254,2,3,0,99.7912,0.240804,1.66486,4.72766
-101.118,0.434381,1.16254,2,3,0,105.191,1.03175,-1.04815,4.76078
-98.806,0.866015,1.16254,2,3,0,101.429,-0.33368,1.49669,4.56199
-98.8101,0.895073,1.16254,2,3,0,99.4843,0.313973,0.433588,4.38169
-99.1234,0.90189,1.16254,2,3,0,99.411,-0.12481,0.535546,4.97737
-99.7517,0.856741,1.16254,2,3,0,100.71,0.0820371,2.00828,4.03142
-99.3525,1,1.16254,2,3,0,99.8726,0.391656,0.105439,4.98186
-101.05,0.891409,1.16254,2,3,0,101.19,0.101526,0.285567,5.72846
-102.077,0.891496,1.16254,2,3,0,102.459,-0.317689,2.04823,3.65933
-101.938,1,1.16254,2,3,0,102.512,0.719699,1.17251,6.02124
-99.0941,0.838688,1.16254,2,3,0,105.133,0.589251,0.401142,4.25996
-99.0941,0.578277,1.16254,1,1,0,101.44,0.589251,0.401142,4.25996
-101.225,0.420844,1.16254,2,3,0,104.116,-0.930117,2.86063,5.19344
-100.797,1,1.16254,2,3,0,101.662,0.811092,-0.137264,3.96194
-99.8153,1,1.16254,2,3,0,101.011,0.678861,1.01399,3.93021
-100.099,0.98234,1.16254,2,3,0,100.408,-0.817996,1.51784,5.23739
-99.1969,1,1.16254,2,3,0,100.242,0.667483,1.96627,4.31651
-99.1017,1,1.16254,2,3,0,99.3109,-0.267272,0.371683,4.84443
-99.2703,0.921319,1.16254,2,3,0,100.253,0.980616,0.437633,4.3724
-99.0248,1,1.16254,1,1,0,99.3137,0.893977,0.52382,4.50164
-98.8637,1,1.16254,1,1,0,99.059,0.710679,0.524791,4.50366
-100.405,0.788653,1.16254,2,3,0,101.011,0.821133,2.89695,4.93554
-101.028,0.954313,1.16254,2,3,0,101.952,-0.601673,3.18016,4.60921
-100.802,0.668852,1.16254,2,3,0,104.612,-0.75187,-0.768446,4.67951
-100.654,1,1.16254,2,3,0,101.15,1.3612,2.71806,4.75045
-98.7777,1,1.16254,2,3,0,100.531,0.775921,0.94846,4.64823
-98.9364,0.801,1.16254,2,3,0,100.026,-0.156768,1.10693,4.19324
-98.9364,0.801623,1.16254,1,1,0,99.7661,-0.156768,1.10693,4.19324
-99.5303,0.816646,1.16254,2,3,0,100.132,1.30722,1.03955,4.88016
-100.291,0.644609,1.16254,2,3,0,101.819,-0.569959,-0.00280766,5.26345
-99.638,0.959432,1.16254,2,3,0,101.1,-0.206519,1.93778,4.08849
-99.638,0.266608,1.16254,2,3,0,104.973,-0.206519,1.93778,4.08849
-101.445,0.708032,1.16254,2,3,0,101.977,-0.963261,2.59206,4.1378
-101.281,0.978001,1.16254,2,3,0,103.299,1.70758,-0.10503,5.27819
-99.4644,0.887996,1.16254,2,3,0,101.343,-0.0276021,2.48206,4.61293
-102.925,0.583377,1.16254,2,3,0,103.86,2.13832,3.15626,4.78743
-102.925,0.500395,1.16254,1,1,0,108.973,2.13832,3.15626,4.78743
-99.6909,1,1.16254,2,3,0,102.665,0.0746963,0.088171,5.16666
-99.4029,0.910989,1.16254,2,3,0,101.253,0.742928,0.668851,5.10766
-98.997,1,1.16254,2,3,0,99.6903,0.0745292,0.345812,4.2855
-103.04,0.572886,1.16254,2,3,0,103.551,2.07599,-0.181881,5.77169
-100.429,1,1.16254,2,3,0,103.342,-1.28914,0.297683,4.60437
-98.6677,0.983423,1.16254,1,3,0,100.324,0.408855,0.650627,4.64778
-100.404,0.734346,1.16254,1,3,0,100.686,-0.605898,1.56785,3.9271
-100.51,0.98393,1.16254,2,3,0,101.82,1.25192,0.626409,5.40375
-100.822,0.933012,1.16254,2,3,0,102.064,1.83133,1.34157,4.29307
-100.475,0.995619,1.16254,2,3,0,102.222,-1.41018,1.03931,4.49395
-99.8543,1,1.16254,2,3,0,100.893,-0.82798,1.99305,4.36226
-99.5089,0.971283,1.16254,2,3,0,100.594,1.14989,0.323554,4.44129
-99.4212,1,1.16254,2,3,0,99.6559,-0.467509,2.16407,4.73806
-98.8252,0.914473,1.16254,2,3,0,100.032,-0.275398,0.570515,4.57542
-98.5781,0.955557,1.16254,2,3,0,99.0935,0.393292,1.08631,4.40422
-99.8055,0.740691,1.16254,2,3,0,100.501,-0.634174,1.57929,5.1782
-100.325,0.951793,1.16254,2,3,0,100.762,0.648018,0.575729,3.85254
-99.8373,0.997985,1.16254,2,3,0,100.7,-0.206999,2.21248,5.15811
-98.8352,0.944565,1.16254,2,3,0,100.175,-0.0765526,1.54817,4.29266
-99.0233,0.954748,1.16254,2,3,0,99.4062,0.429435,0.992908,5.01518
-98.6323,0.983529,1.16254,2,3,0,99.2327,0.336593,0.63647,4.51612
-101.077,0.610824,1.16254,2,3,0,101.586,0.19185,-0.821749,5.37234
-100.133,0.948673,1.16254,2,3,0,101.765,0.0707214,1.77071,3.88001
-100.133,0.507147,1.16254,1,1,0,104.375,0.0707214,1.77071,3.88001
-100.133,0.530316,1.16254,2,3,0,102.637,0.0707214,1.77071,3.88001
-100.3,0.712368,1.16254,2,3,0,102.401,0.0784889,1.87643,5.48128
-99.667,1,1.16254,2,3,0,100.341,-0.11429,1.64674,5.25697
-98.9344,0.928201,1.16254,2,3,0,100.026,0.0224776,0.208505,4.6237
-99.8921,0.758089,1.16254,2,3,0,102.089,1.2501,2.24013,4.64239
-99.8656,0.908594,1.16254,2,3,0,101.061,-0.849064,0.116607,4.45929
-99.189,0.493655,1.16254,2,3,0,103.409,0.566039,2.05471,4.84171
-99.8852,0.717927,1.16254,2,3,0,102.049,0.134534,-0.348028,4.25303
-99.5249,0.823621,1.16254,2,3,0,101.501,0.954531,0.954691,5.12368
-98.8702,0.985485,1.16254,2,3,0,99.4571,-0.206995,1.44153,4.28906
-100.411,0.736927,1.16254,2,3,0,101.248,-0.261488,0.423717,5.50061
-102.876,0.852981,1.16254,2,3,0,103.581,0.191946,3.75848,4.18146
-99.6741,1,1.16254,1,1,0,102.022,-0.319086,2.28887,4.28074
-100.065,0.9716,1.16254,2,3,0,100.19,1.07826,-0.235785,4.94613
-99.4543,1,1.16254,2,3,0,100.387,1.33181,0.833544,4.56085
